Filename,Date Digitized ,QA complete,OCR complete,Bib ID,Call number,Prefix,Classification,Brief Title,Full Title,Repository
ksrl_sc_griffith_h2_0001,2015-04-07,2015-04-15,2015-05-01,7824050,Griffith H2,Griffith,H2,Se{tilde}nor presidente de la rep{acute}ublica /,Se{tilde}nor presidente de la rep{acute}ublica /$c[signed] {acute}Angel Rosal... [et al.].,Special Collections
ksrl_sc_griffith_h3_0001,2015-04-07,2015-04-15,2015-05-01,7824051,Griffith H3,Griffith,H3,Expont{acute}anea manifestaci{acute}on.,"Expont{acute}anea manifestaci{acute}on.$bSe{tilde}nor presidente constitucional de la rep{acute}ublica y benem{acute}erito de la patria, licenciado don Manuel Estrada Cabrera, Guatemala /$c[signed] Agapito Herrera... [et al.].",Special Collections
ksrl_sc_griffith_h4_0001,2015-04-07,2015-04-15,2015-05-01,7824052,Griffith H4,Griffith,H4,"Verdad, y no calumnia /","Verdad, y no calumnia /$c[signed] Pedro Gir{acute}on... [et al.]",Special Collections
ksrl_sc_griffith_h5_0001,2015-04-07,2015-04-15,2015-05-01,7824053,Griffith H5,Griffith,H5,Hechos-- /,Hechos-- /$c[signed] S. Beltr{acute}an Vasqu{acute}ez.,Special Collections
ksrl_sc_griffith_h6_0001,2015-04-07,2015-04-15,2015-05-01,7824054,Griffith H6,Griffith,H6,"El Club Liberal de Chiquimulilla, altamente adicto al eximio patriota que representa {acute}a la rep{acute}ublica de Guatemala ante las naciones cultas del mundo, Licdo. don Manuel Estrada Cabrera...","El Club Liberal de Chiquimulilla, altamente adicto al eximio patriota que representa {acute}a la rep{acute}ublica de Guatemala ante las naciones cultas del mundo, Licdo. don Manuel Estrada Cabrera...",Special Collections
ksrl_sc_griffith_h7_0001,2015-04-07,2015-04-15,2015-05-01,7824055,Griffith H7,Griffith,H7,"El magisterio al benem{acute}erito de la patria, se{tilde}nor Lic. don Manuel Estrada Cabrera, presidente constitucional de la rep{acute}ublica /","El magisterio al benem{acute}erito de la patria, se{tilde}nor Lic. don Manuel Estrada Cabrera, presidente constitucional de la rep{acute}ublica /$c[signed] Enrique Ar{acute}is... [et al.].",Special Collections
ksrl_sc_griffith_h8_0001,2015-04-15,2015-04-20,2015-05-01,7824056,Griffith H8,Griffith,H8,Licenciado Manuel Estrada Cabrera /,Licenciado Manuel Estrada Cabrera /$c[signed] El Club Constituci{acute}on.,Special Collections
ksrl_sc_griffith_h10_0001||ksrl_sc_griffith_h10_0002,2015-04-07,2015-04-15,2015-05-01,7824058,Griffith H10,Griffith,H10,"Los vecinos de la cabecera del departamento de Santa Rosa, a sus conciudadanos... /","Los vecinos de la cabecera del departamento de Santa Rosa, a sus conciudadanos... /$c[signed] Flavio Ovalle... [et al.].",Special Collections
ksrl_sc_griffith_h11_0001,2015-04-07,2015-04-15,2015-05-01,7824059,Griffith H11,Griffith,H11,Nuestro candidato a la presidencia de la rep{acute}ublica /,Nuestro candidato a la presidencia de la rep{acute}ublica /$c[signed] Socorro Ort{acute}iz... [et al.].,Special Collections
ksrl_sc_griffith_h12_0001,2015-04-07,2015-04-15,2015-05-01,7824060,Griffith H12,Griffith,H12,{iexcl}A los guatemaltecos! /,{iexcl}A los guatemaltecos! /$c[signed] Adri{acute}an Romero.,Special Collections
ksrl_sc_griffith_h15_0001,2015-04-07,2015-04-15,2015-05-01,7824063,Griffith H15,Griffith,H15,"Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria, Lic. don Manuel Estrada Cabrera /","Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria, Lic. don Manuel Estrada Cabrera /$c[signed] Juli{acute}an Mendoza... [et al.].",Special Collections
ksrl_sc_griffith_h16_0001||ksrl_sc_griffith_h16_0002,2015-04-07,2015-04-15,2015-05-01,7824064,Griffith H16,Griffith,H16,La mujer en la brecha pol{acute}itica /,"La mujer en la brecha pol{acute}itica /$cMesa Directiva del Club ""La Libertad"".",Special Collections
ksrl_sc_griffith_h17_0001,2015-04-07,2015-04-15,2015-05-01,7824065,Griffith H17,Griffith,H17,La asamblea legislativa de Guatemala a los habitantes de la rep{acute}ublica /,La asamblea legislativa de Guatemala a los habitantes de la rep{acute}ublica /$c[signed] Arturo Ubico... [et al.].,Special Collections
ksrl_sc_griffith_h18_0001||ksrl_sc_griffith_h18_0002,2015-04-07,2015-04-15,2015-05-01,7824066,Griffith H18,Griffith,H18,Felicitaci{acute}on al benem{acute}erito de la patria licenciado Manuel Estrada Cabrera /,Felicitaci{acute}on al benem{acute}erito de la patria licenciado Manuel Estrada Cabrera /$cClub Estrada Cabrera ; [signed] Pedro Soc... [et al.].,Special Collections
ksrl_sc_griffith_h19_0001,2015-04-07,2015-04-15,2015-05-01,7824067,Griffith H19,Griffith,H19,"Se{tilde}nor presidente constitucional de la rep{acute}ublica, licenciado don Manuel Estrada Cabrera, presente /","Se{tilde}nor presidente constitucional de la rep{acute}ublica, licenciado don Manuel Estrada Cabrera, presente /$c[signed] Manuel de J. Monroy... [et al.].",Special Collections
ksrl_sc_griffith_h20_0001,2015-04-07,2015-04-15,2015-05-01,7824068,Griffith H20,Griffith,H20,"Se{tilde}nor presidente constitucional de la rep{acute}ublica, licenciado don Manuel Estrada Cabrera, Guatemala /","Se{tilde}nor presidente constitucional de la rep{acute}ublica, licenciado don Manuel Estrada Cabrera, Guatemala /$c[signed] Rejino P{acute}erez... [et al.]",Special Collections
ksrl_sc_griffith_h22_0001,2015-04-14,2015-04-15,2015-05-01,7846987,Griffith H22,Griffith,H22,"Se{tilde}nor presidente constitucional de la rep{acute}ublica, doctor don Manuel Estrada Cabrera, Guatemala /","Se{tilde}nor presidente constitucional de la rep{acute}ublica, doctor don Manuel Estrada Cabrera, Guatemala /$c[signed] Jos{acute}e Ma. Reyes... [et al.].",Special Collections
