Filename,Date Digitized,QA complete,OCR complete,Call No.,BIB_ID,Title,Author,Pub date,Pub date in record,Pub Place,Country,OCLC no.,Desc,Repository
ksrl_sc_griffith_h54_0001,2015-04-17,2015-04-20,2015-05-01,GRIFFITH H54,7833660,Al pu_blico / [signed] Carlos Madrid.,"Madrid, C. (Carlos)",1862,1862.,Comayagua :,Honduras,(OCoLC)ocn840823478,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_h57_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H57,7833663,"Presidente de la repu_blica, con presencia de varios partes recibidos de funcionarios y personas respetables... / [signed] Ponciano Leiva... [et al.].",,1886,1886],[Honduras :,Honduras,(OCoLC)ocn840822998,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_h70_0001,2015-04-17,2015-04-20,2015-05-01,GRIFFITH H70,7611515,"Presidente de la repu_blica, considerando-- / [signed] Luis Bogra_n, P. Leiva.","Bogra_n, Luis, 1849-1895.",1886,1886],[Tegucigalpa :,Honduras,(OCoLC)ocn794241381,1 sheet ; 29 cm.,Special Collections
ksrl_sc_griffith_h71_0001 & ksrl_sc_griffith_h71_0002,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H71,6769513,"Secretari_a de Estado en los Despachos de Gobernacio_n y Guerra, Tegucigalpa, agosto 4 de 1886 / Ponciano Leiva, Ma_ximo Ga_lvez.","Leiva, Ponciano, 1821-1896.",1886,1886.,Tegucigalpa :,Honduras,(OCoLC)ocn491380324,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_h72_0001,2015-04-17,2015-04-20,2015-05-01,GRIFFITH H72,7649574,Estado soberano de Honduras.,,185u,185-?],[Honduras :,Honduras,(OCoLC)ocn805951926,1 sheet ; 30 cm.,Special Collections
ksrl_sc_griffith_h73_0001,2015-04-17,2015-04-20,2015-05-01,GRIFFITH H73,7833775,"Preisdente de la repu_blica de Honduras, a sus habitantes, sabed... / [signed] Luis Bogra_n.","Bogra_n, Luis, 1849-1895.",1887,1887],[Honduras :,Honduras,(OCoLC)ocn840922381,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_h74_0001 & ksrl_sc_griffith_h74_0002,2015-04-18,2015-04-20,2015-05-01,GRIFFITH H74,7833776,Arti_culo 75 de nuestra constiutcio_n : al sen_or Fernando Carreras.,,18uu,18--?],[Paraguay? :,Paraguay,(OCoLC)ocn840921991,1 broadside ; 47 cm.,Special Collections
ksrl_sc_griffith_h77_0001,2015-04-18,2015-04-20,2015-05-01,GRIFFITH H77,7833779,"Para el domingo 4 de junio : se pondra_ en escena la preciosa o_pera en cuatro actos, que con tanto ju_bilo la recibio_ el pu_blico la primera noche. Marta.",,1893,1893.,"San JoseÌÅ, Costa Rica :",Costa Rica,(OCoLC)ocn840922382,1 sheet ; 39 cm.,Special Collections
ksrl_sc_griffith_h78_0001,2015-04-18,2015-04-20,2015-05-01,GRIFFITH H78,7833780,"Ponciano Leiva, General de Divisio_n y Secretario de Estado en el Despacho de la Guerra, encargado del poder ejecutivo de la repu_blica, decreto...","Leiva, Ponciano, 1821-1896.",1885,1886],[Tegucigalpa :,Honduras,(OCoLC)ocn840921156,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_h79_0001,2015-04-18,2015-04-20,2015-05-01,GRIFFITH H79,7833781,Senador encargado del S.P.E. del estado de Honduras a sus conciudadanos / [signed] Francisco Gomes.,"Gomes, Francisco.",1853,1853.,La Esperanza :,Honduras,(OCoLC)ocn840921157,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_h81_0001,2015-04-18,2015-04-20,2015-05-01,GRIFFITH H81,7833783,Compan_ia del Monte Aguacate.,,1869,1869.,San JoseÌÅ de Costa Rica :,Costa Rica,(OCoLC)ocn840921994,1 broadside ; 44 cm.,Special Collections
ksrl_sc_griffith_h82_0001,2015-04-18,2015-04-20,2015-05-01,GRIFFITH H82,7833784,"Parango_n. Un obispo costarricense cristiano, y un obispo extranjero romanista.",,1884,1884.,San JoseÌÅ :,Costa Rica,(OCoLC)ocn840922383,1 sheet ; 36 cm.,Special Collections
ksrl_sc_griffith_h85_0001,2015-04-18,2015-04-20,2015-05-01,GRIFFITH H85,7833787,Habiendo acaecido el matrimonio del primer Magistrado de la Repu_blica...,,1866,1866.,[El Salvador] :,El Salvador,(OCoLC)ocn840921995,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_h92_0001,2015-04-18,2015-04-20,2015-05-01,GRIFFITH H92,5350004,¡Alerta costarricenses! : Ricardo Jime_nez-- Ma_ximo Ferna_ndez y Jose_ Santos Zelaya descubiertos.,,1909,[1909],[Costa Rica] :,Costa Rica,(OCoLC)ocn840921160,1 sheet ; 36 cm.,Special Collections
ksrl_sc_griffith_h93_0001,2015-04-18,2015-04-20,2015-05-01,GRIFFITH H93,5350003,A Rafael Iglesias / [signed] Aristides Montero.,"Montero, Aristides.",1909,1909.,San JoseÌÅ :,Costa Rica,(OCoLC)ocn840921999,1 sheet ; 36 cm.,Special Collections
ksrl_sc_griffith_h122_0001,2015-04-21,2015-04-22,2015-05-01,GRIFFITH H122,7848223,"Nos el presbitero Pedro Boquin dignidad de Chantre de esta santa iglesia catedral, provisor, vicario capitular y gobernador del obispado de Honduras, sede-vacante.","Pius IX, Pope, 1792-1878.",1852,[1852],[Comayagua] :,Honduras,(OCoLC)ocn843768158,1 broadside ; 45 x 32 cm.,Special Collections
ksrl_sc_griffith_h123_0001,2015-04-21,2015-04-22,2015-05-01,GRIFFITH H123,7848224,Manifiesto del Partido Democra_tico Revolucionario Honduren_o : la soberani_a de Honduras amenazada por la construccio_n del canal de Nicaragua--!! ; una base naval en el Golfo de Fonseca es grave peligro para la existencia de la nacio_n--!! / Comite,Partido Democra_tico Revolucionario Honduren_o. Comite_ Central Ejecutivo.,1914,[1914?],[Honduras] :,Honduras,(OCoLC)ocn843768159,1 broadside ; 45 x 30 cm.,Special Collections
ksrl_sc_griffith_h124_0001,2015-04-21,2015-04-22,2015-05-01,GRIFFITH H124,7848225,"Nos el doctor y maestro Francisco de Paula Campoy, y Perez por la divina misericordia y gracia de la santa sede aposto_lica, obispo de Comayagua, y Xeres de Choluteca &c... / [signed] Francisco Obispo de Comayagua.",Catholic Church. Diocese of Comayagua (Honduras) Bishop (1844-1853 : Campoy),1846,1846],[Honduras :,Honduras,(OCoLC)ocn843768427,1 broadside ; 43 x 32 cm.,Special Collections
ksrl_sc_griffith_h213_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H213,7879622,"Considerando : que todos los pueblos de la repu_blica, por medio de sus municipios, han presentado al gobierno actas en que piden la abolicio_n del diezmo... / [signed] Marco A. Soto, Ramon Rosa.","Soto, Marco Aurelio, 1846-1908.",1879,[1879],[Honduras] :,Honduras,(OCoLC)ocn854900692,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_h216_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H216,6773920,Elecciones / Unas Patriotas.,Patriotas.,1862,1862.,Comayagua :,Honduras,(OCoLC)ocn495472091,1 sheet ; 22 cm.,Special Collections
ksrl_sc_griffith_h218_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H218,7881286,"Presidente de la repu_blica de Honduras, a sus habitantes, sabed... / [signed] Luis Bogran, Crescencio Gomez.","Bogra_n, Luis, 1849-1895.",1887,1887],[Honduras :,Honduras,(OCoLC)ocn855333675,1 sheet ; 32 cm.,Special Collections
